名称,纬度,经度,分类,价格,建议时段,上午,下午,晚上,室内可避雨,登高观景,交通,距酒店km,步行分钟,说明,官网,坐标来源
德国监狱旧址博物馆,36.06145,120.32369,🏛 历史建筑 / 博物馆,约 25 元,约 9:00-16:30｜周一闭馆,✓,✓,,✓,,老城步行圈｜地铁人民会堂站,1.08,14,1900 年的德式监狱，牢房、水牢原样保留着。题材偏沉重，但几乎没人排队，40 分钟能看完。周一闭馆。,,OSM实测
青岛邮电博物馆,36.06326,120.3166,🏛 历史建筑 / 博物馆,约 10-20 元｜咖啡另计,白天｜顶层咖啡到晚间,✓,✓,✓,✓,,老城步行圈｜青岛站 8 分钟,0.42,6,1901 年的德式塔楼，里面陈列老电话机和电报机。真正的亮点是顶层「塔楼 1901」咖啡馆——木结构老阁楼，能俯瞰老城街景，营业到晚上。离酒店最近的室内去处，突然下雨可以躲进来。,,OSM实测
海军博物馆,36.05481,120.32393,🏛 历史建筑 / 博物馆,免费｜须预约,9:00-17:00｜周一闭馆,✓,✓,✓,✓,,老城步行圈｜地铁人民会堂站,1.44,19,★ 必须提前预约。中国唯一的大型海军博物馆，能登上真的驱逐舰和潜艇。外籍访客要带护照到人工窗口验证，建议先打电话 0532-82876888 问清政策。核潜艇要入馆后现场再抢名额。周一闭馆。想省事的话，清晨 5-8 点、傍晚 17-20 点室外展区免预约开放。,http://www.hjbwg.com,OSM实测
青岛山一战遗址公园,36.06911,120.33826,🏛 历史建筑 / 博物馆,约 30-58 元,约 8:30-17:00,✓,✓,,✓,,地铁 3 号线延安三路站 / 打车,2.45,33,山顶下面是德军的地下要塞，一战时日德在青岛打过一仗，这是亚洲唯一的一战战场遗迹。地道里常年 18℃，是天然的避暑避雨处。对欧洲客人来说这段历史很有共鸣。,,OSM实测
青岛市美术馆,36.06141,120.32753,🏛 历史建筑 / 博物馆,免费｜需预约,约 9:00-17:00｜周一闭馆,✓,✓,,✓,,老城步行圈｜地铁人民会堂站,1.42,19,建筑本身比展品更值得看——罗马柱廊、伊斯兰穹顶、中式宫殿三种风格混在一个院子里，原来是「万字会」旧址。免费，需预约，周一闭馆。,,OSM实测
骆驼祥子博物馆(老舍故居),36.06232,120.32677,🏛 历史建筑 / 博物馆,免费｜需预约,约 9:00-16:00｜周一闭馆,✓,✓,,✓,,老城步行圈｜地铁人民会堂站,1.34,18,老舍在这栋小楼里写完了《骆驼祥子》。院子安静，屋内保留着书桌和手稿。就在大学路红墙旁边，顺路进去坐十分钟很舒服。周一闭馆。,,OSM实测
康有为故居,36.0597,120.33422,🏛 历史建筑 / 博物馆,约 5-10 元,约 9:00-16:30｜周一闭馆,✓,✓,,✓,,地铁人民会堂站 / 打车,2.05,27,康有为在青岛度过晚年的德式小楼，1927 年在此去世。屋内有他的手迹和藏品，位置在小鱼山脚下，可以和小鱼山串在一起走。,,OSM实测
青岛市博物馆,36.10161,120.4676,🏛 历史建筑 / 博物馆,免费,约 9:00-17:00｜周一闭馆,✓,✓,,✓,,地铁 2 号线苗岭路站,14.62,,北魏石佛、明清书画是镇馆之宝。免费不用预约，空调很足。缺点是离老城远，单程 40 分钟车程，除非下雨天专门去，否则性价比一般。周一闭馆。,http://www.qingdaomuseum.com,OSM实测
海尔世界家电博物馆,36.086,120.459,🏛 历史建筑 / 博物馆,约 60-80 元,约 9:30-17:30,✓,✓,,✓,,地铁 2 号线麦岛站 / 打车,13.45,,收藏了全球各年代的老家电，还原了一条「时光小镇」街道，设计感很强、很出片。下雨天可以在这里泡半天。位置偏，需打车。,,地址推定
青岛葡萄酒博物馆,36.07232,120.34283,🏛 历史建筑 / 博物馆,约 40-60 元,约 9:00-17:00,✓,✓,,✓,,地铁 3 号线台东站,2.95,,建在防空洞里的酒窖博物馆，地下恒温阴凉，夏天进去很舒服。可以品酒，和啤酒博物馆是完全不同的体验，人也少得多。就在登州路啤酒街旁边，可以一起安排。,,OSM实测
第一海水浴场,36.05661,120.33725,🏖 海滨 / 沙滩,免费｜冲淋约 10 元,全天｜清晨傍晚最佳,✓,✓,✓,,,地铁人民会堂站 / 打车,2.4,32,青岛最大最有名的沙滩，580 米长。8 月水温正好，但白天人多得像下饺子。清晨看本地人游泳、傍晚看落日最舒服。更衣冲淋约 10 元。,,OSM实测
第二海水浴场,36.04995,120.34679,🏖 海滨 / 沙滩,免费,全天｜黄昏最佳,✓,✓,✓,,,地铁 3 号线太平角公园站,3.48,,在八大关下面，礁石多沙滩小，但环境比一浴清静得多，背后就是老别墅群。退潮时能看到本地人在礁石上赶海捡贝壳。,,OSM实测
第三海水浴场,36.05031,120.36065,🏖 海滨 / 沙滩,免费,全天,✓,✓,✓,,,地铁 3 号线太平角公园站,4.62,,太平角旁边的小浴场，游客少、本地人多，想安静看海的话这里合适。,,OSM实测
第六海水浴场,36.06183,120.31123,🏖 海滨 / 沙滩,免费｜冲淋 5-10 元,全天｜清晨有生活气,✓,✓,✓,,,老城步行圈｜青岛站 8 分钟,0.19,3,就在栈桥西侧，离酒店最近的海。沙滩一般，但清晨能看到很多本地老人下海游泳，那个场面很青岛。散步顺路过来看看就行。,,OSM实测
石老人海水浴场,36.09065,120.4634,🏖 海滨 / 沙滩,免费,全天,✓,✓,✓,,,地铁 11 号线石老人浴场站,13.95,,沙滩最长最开阔，得名于海里那块像老人的礁石。离市区较远，适合和崂山、小麦岛顺路安排。8 月偶有海蜇，下水前先问救生员。,,OSM实测
金沙滩,35.95851,120.24022,🏖 海滨 / 沙滩,免费｜遮阳伞约 50 元,全天,✓,✓,✓,,,地铁 1 号线 或 轮渡过海,13.33,,论沙质是青岛最好的，沙子细软金黄，号称亚洲第一滩。在西海岸，过海要 40 分钟以上，建议和啤酒节主会场安排在同一天。,,OSM实测
鲁迅公园 · 海边礁石,36.05525,120.32851,🏖 海滨 / 沙滩,免费,全天,✓,✓,✓,,,老城步行圈｜地铁人民会堂站,1.75,23,沿海一公里的步道，红礁石配黑松林，树荫多、海风大，是夏天体感最凉快的散步路线。免费，人也不算多，从栈桥可以一路走过来。,,OSM实测
太平角公园,36.0535,120.35461,🏖 海滨 / 沙滩,免费,全天｜黄昏最佳,✓,✓,✓,,,地铁 3 号线太平角公园站,3.99,,伸进海里的一个角，礁石海岸线很长，黄昏时光线特别好。人不多，适合安静走走。查一下潮汐表，退潮时能走到礁石上。,,OSM实测
小麦岛公园,36.05421,120.42593,🌳 公园 / 海边步道,免费,全天｜日落最佳,✓,✓,✓,,,地铁 2 号线海安路站,10.3,,被叫做「青岛小垦丁」，一座连着陆地的小岛，环岛栈道加大片草坡，看日落很棒、拍照很出片。完全免费。缺点是没树荫没座椅，日落时人相当多。,,OSM实测
燕儿岛山公园,36.05491,120.40051,🌳 公园 / 海边步道,免费,全天,✓,✓,✓,,,地铁 3 号线燕儿岛路站,8.02,,悬崖上的木栈道，海景开阔，人比小麦岛少很多。想安静看海又不想跑远，这里是个好选择。,,OSM实测
中山公园,36.05896,120.34627,🌳 公园 / 海边步道,免费,全天,✓,✓,✓,,,地铁 3 号线中山公园站,3.13,,老城最大的绿地，树荫最密，夏天中午想避暑散步就来这里。8 月没什么花，就是纯粹的乘凉。紧挨着八大关，可以一起走。,,OSM实测
信号山公园,36.06633,120.32644,🔭 登高观景,公园免费｜观景楼约 15 元,公园约 7:30-18:00,✓,✓,✓,,✓,老城步行圈｜地铁人民会堂站,1.34,18,老城中心的小山头，山顶三个红色圆球是观景楼，能 360 度俯瞰红屋顶和海湾——想理解青岛的城市格局，来这里最快。观景楼下午 5 点左右关，公园本身开放更晚。,,OSM实测
小鱼山公园,36.05867,120.33128,🔭 登高观景,约 15 元,约 8:00-17:00,✓,✓,,,✓,地铁人民会堂站 / 打车,1.82,24,看落日的最佳位置，从览青阁能同时看到栈桥、小青岛和八大关。★ 下午 5 点左右就停止售票了，务必 16:30 前进园，很多人卡在这里吃亏。,,OSM实测
唐岛湾湿地公园,35.94081,120.18001,🌳 公园 / 海边步道,免费,全天,✓,✓,✓,,,地铁 1 号线转公交（西海岸）,18.08,,西海岸的滨海湿地，步道很长很开阔。如果当天去金沙滩或啤酒节主会场，可以顺路过来。单独专程去性价比不高。,,OSM实测
青山渔村,36.14588,120.67893,🌳 公园 / 海边步道,免费,白天,✓,✓,,,,崂山南线景区观光车,34.22,,崂山脚下的海边小渔村，依山而建的石头房子、层层梯田和渔港，有点地中海的意思。是崂山南线上最上镜的地方，可以在这里吃顿渔家饭。,,OSM实测
海天中心 · 云上海天,36.0562,120.36485,🔭 登高观景,约 120-160 元,白天到夜晚,✓,✓,✓,✓,✓,地铁 3 号线五四广场站,4.83,,青岛第一高楼，369 米高的 360 度观景层，室内有空调。天气通透时能看到整个海湾和崂山轮廓，雾天就完全不值这个票价——去之前先看看能见度。楼下海天 MALL 里有家面朝大海的书店。,,OSM实测
崂山 · 巨峰(崂顶 1132m),36.16891,120.62441,🔭 登高观景,门票 80 元 + 车 40 元 + 索道 40 元,全天｜需一早出发,✓,✓,,,✓,地铁 4 号线大河东站,30.42,,崂山最高峰，运气好能看到云海。台阶多、爬升大，体力要求高，夏天云雾遮挡概率也大。带长辈的话不建议，改走太清或北九水。,http://www.qdlaoshan.cn,OSM实测
崂山 · 太清宫,36.1402,120.67182,⛰ 崂山（整日行程）,门票 90 元 + 观光车｜太清宫另收 27 元,全天,✓,✓,,,,地铁 4 号线大河东站（约 75 分钟）,33.44,,★ 崂山最值得去的一条线。西汉就有的道观，背靠山面朝海，沿木栈道走一路都是山海同框的景。坡度平缓，体力要求不高，适合各年龄段。建议 9 点前进景区避开人流。,http://www.qdlaoshan.cn,OSM实测
崂山 · 北九水,36.23842,120.55409,⛰ 崂山（整日行程）,门票 60 元 + 观光车 30 元,全天,✓,✓,,,,蓝谷快线北九水站,29.18,,★ 8 月避暑首选。一条沿溪的峡谷步道，一路是深潭和瀑布，气温比市区低 5℃ 左右，全程平缓不用爬山。暴雨后可能封闭，出发前查一下公告。,http://www.qdlaoshan.cn,OSM实测
崂山 · 仰口,36.23945,120.66575,⛰ 崂山（整日行程）,门票 90 元｜索道单程 35 元,全天,✓,✓,,,✓,蓝谷快线浦里站转公交,37.31,,崂山东线，有沙滩、有奇石（觅天洞、寿字峰），坐索道上去视野极好，是崂山最出片的一段。缺点是换乘最麻烦，单程接近 2 小时。,http://www.qdlaoshan.cn,OSM实测
崂山 · 大河东游客中心,36.13119,120.58132,⛰ 崂山（整日行程）,门票 90 元 + 观光车 40-60 元,白天,✓,✓,,,,地铁 4 号线大河东站,25.35,,去太清宫和巨峰都从这里进山，地铁 4 号线直达，在这里换乘景区观光车。到了先看电子屏上的班次和排队情况。,http://www.qdlaoshan.cn,OSM实测
青岛啤酒博物馆,36.07897,120.34256,🍺 啤酒 / 夜生活,约 60 元起｜品鉴票 95-120 元,约 10:00-18:00｜需预约,✓,✓,,✓,,地铁 3 号线台东站,3.25,,★ 给外国客人的头号推荐。就在 1903 年的老厂区里，讲德国人怎么把啤酒厂建到青岛。参观完能喝到当天的原浆——这个味道外面买不到。全程室内空调。旺季要提前在官方公众号预约时段，现场排队约 30 分钟。,http://www.tsingtaomuseum.com,OSM实测
啤酒节 · 老城会场(劈柴院),36.07105,120.31301,🍺 啤酒 / 夜生活,免门票,白天可逛｜晚上最热闹,,✓,✓,,,老城步行圈｜地铁中山路站,0.85,11,★ 住在这附近的最佳选择。7/17-8/15 期间免门票，就在中山路百年老街区里喝啤酒听乐队，走回酒店 11 分钟，不用担心末班车。白天来逛街区也可以。,,OSM实测
啤酒节 · 大鲍岛里院街区,36.07284,120.3137,🍺 啤酒 / 夜生活,免门票｜精酿 30-60 元/杯,白天可逛｜晚上最热闹,,✓,✓,,,老城步行圈｜地铁人民会堂站,1.06,14,老城里院建筑改造的街区，青岛特有的那种围合式院落。啤酒配蛤蜊是本地吃法，还有炸鸡摊和街头驻唱。氛围比劈柴院更年轻一些。,,OSM实测
啤酒节 · 金沙滩主会场,35.95116,120.23355,🍺 啤酒 / 夜生活,免门票｜人均 150-250 元,约 10:00-23:00,,✓,✓,,,轮渡或地铁 1 号线,14.34,,★ 全球最大的啤酒城，9 个大棚、几十国啤酒，每晚两场 1500 架无人机表演加烟花。规模确实震撼。唯一问题是远——建议下午 5 点前出发，玩到 22 点后只能打车走海底隧道回来（100-150 元）。,,OSM实测
啤酒节 · 崂山会场,36.10413,120.4654,🍺 啤酒 / 夜生活,免门票,下午到夜晚,,✓,✓,,,地铁 2 号线苗岭路站,14.52,,折中选择：比西海岸近得多，地铁能到，6 个啤酒花园环境不错，人也没主会场那么挤。,,OSM实测
登州路啤酒街,36.08013,120.34119,🍺 啤酒 / 夜生活,散啤 10-20 元/斤,傍晚到深夜,,✓,✓,,,地铁 3 号线台东站,3.22,,最地道的青岛夏夜：塑料袋装的散啤、马路边的塑料凳、现烤鱿鱼。价格实惠但环境嘈杂，点单前一定先问清单价（尤其海鲜按斤算的）。就在啤酒博物馆门口。,,OSM实测
台东步行街 + 夜市,36.08199,120.34902,🍺 啤酒 / 夜生活,免费｜小吃 5-30 元,下午到夜晚,,✓,✓,,,地铁 3 号线台东站,3.92,,青岛最大的夜市，整栋楼的外墙彩绘是标志。小吃、服饰、日用百货都有，价格便宜。18 点后才热闹起来，人非常多，注意随身物品。,,OSM实测
银鱼巷,36.06701,120.30939,☕ 咖啡 / 书店 / 老街,免费｜咖啡人均 40-60 元,下午到晚上,,✓,✓,,,老城步行圈｜地铁中山路站,0.46,6,老城更新后的小巷，石板路两侧是咖啡馆、买手店和小酒馆，没有中山路那么吵。适合下午随便逛逛坐坐，晚上有几家小酒吧。离酒店很近。,,OSM实测
良友书坊 · 塔楼 1901,36.0633,120.31669,☕ 咖啡 / 书店 / 老街,免费入内｜咖啡约 35-50 元,约 9:00-18:00,✓,✓,✓,✓,,老城步行圈｜青岛站 8 分钟,0.43,6,开在百年德式塔楼里的书店咖啡馆，木楼梯、旧家具、老城景观窗。买本书坐一下午都行，是躲开暑气和人潮的好地方。就在邮电博物馆同一栋楼。,,OSM实测
青岛文学馆,36.06606,120.31642,☕ 咖啡 / 书店 / 老街,免费,约 9:30-17:30,✓,✓,,✓,,老城步行圈,0.5,7,藏在爬满藤蔓的老院子里，全国第一家城市文学馆。一楼咖啡、二楼展厅，展着老舍、沈从文、萧红在青岛留下的手稿和旧刊。文人客人会喜欢。,,OSM实测
黄县路 · 名人故居街,36.0628,120.327,☕ 咖啡 / 书店 / 老街,免费,全天,✓,✓,✓,,,老城步行圈｜地铁人民会堂站,1.36,18,不到 600 米的小路，两侧是老洋房和小店，老舍、萧红都在这一带住过。比隔壁大学路安静得多，慢慢走走比拍照打卡有意思。,,OSM实测
鱼山路 · 海大与故居群,36.0608,120.32846,☕ 咖啡 / 书店 / 老街,免费,全天,✓,✓,✓,,,老城步行圈｜地铁人民会堂站,1.52,20,沿着中国海洋大学鱼山校区的老校园走，闻一多、沈从文、洪深的故居都在这条坡路上。梧桐、红瓦、老墙，是最能代表青岛气质的一段路。,,OSM实测
青岛海底世界,36.05692,120.33083,🎪 亲子 / 室内玩乐,约 170-220 元,约 8:30-17:30｜需预约,✓,✓,,✓,,老城步行圈｜地铁人民会堂站,1.85,25,建在海边的水族馆，有海底隧道和美人鱼表演，室内空调足。暑期上午常被旅行团包场，建议约下午 2 点后的场次。票价偏贵，成人单独去性价比一般。,http://www.qdhdworld.com,OSM实测
上合之珠国际博览中心,36.245,120.03,🎪 亲子 / 室内玩乐,多数馆免费,白天,✓,✓,,✓,,地铁 13 号线转接驳车,32.38,,上合组织国家的主题展馆群，包括俄罗斯馆。不算传统旅游景点，但对做研究或对欧亚合作有兴趣的人来说，比看风景更有价值。在胶州，单程约 1 小时。,,地址推定
悦喜客来广场(中山路),36.0667,120.313,🛍 购物 / 补给,免费入场,约 9:00-21:00,✓,✓,✓,✓,,老城步行圈｜青岛站 8 分钟,0.38,5,离酒店最近的综合商场，紧挨天主教堂。商场、超市、餐饮、电影院都有，下雨天或晚上没地方去时最实用。,,地址推定
新华书店(广西路),36.06338,120.31235,🛍 购物 / 补给,免费,约 9:00-20:00,✓,✓,✓,✓,,老城步行圈,0.04,1,出酒店就是。临时买水、买伞、避个雨最方便，周边便利店和小超市也密集。,,OSM实测
金茂湾购物中心,36.06619,120.29573,🛍 购物 / 补给,免费入场,约 10:00-22:00,✓,✓,✓,✓,,地铁 1 号线西镇站,1.49,20,西镇的老商场，超市餐饮影院齐全，人少不挤。去轮渡站的路上，可以顺路补给。,,OSM实测
前海利群购物广场,36.05823,120.30376,🛍 购物 / 补给,免费入场,约 9:00-21:30,✓,✓,✓,✓,,地铁 1 号线八大峡站,0.93,12,本地人日常逛的商场，超市生鲜便宜。买水果零食带回酒店合适，游客很少。,,OSM实测
即墨路小商品市场,36.07439,120.31895,🛍 购物 / 补给,免费入场,约 9:00-18:00,✓,✓,,✓,,老城步行圈｜地铁中山路站,1.37,18,地下小商品城，纪念品、箱包、小百货最便宜的地方，可以还价。室内不怕下雨。想买伴手礼来这里比景区划算得多。,,OSM实测
万象城,36.06707,120.37237,🛍 购物 / 补给,免费入场,约 10:00-22:00,✓,✓,✓,✓,,地铁 3 号线江西路站,5.45,,青岛最大的购物中心，品牌、餐厅、影院都齐，下雨天能耗一整天。营业到 22 点，是晚上最靠谱的室内去处。,,OSM实测
海信广场,36.06001,120.39067,🛍 购物 / 补给,免费入场,约 10:00-22:00,✓,✓,✓,✓,,地铁 3 号线五四广场站,7.09,,青岛的高端商场，一线品牌都在这里，负一层的进口超市值得逛。紧邻奥帆中心，看完海可以过来吹空调。,,OSM实测
麦凯乐总店,36.06577,120.3978,🛍 购物 / 补给,免费入场,约 10:00-21:30,✓,✓,✓,✓,,地铁 3 号线五四广场站,7.72,,香港中路的老牌百货，价位比万象城亲民，本地特产区适合买带走的东西。,,OSM实测
青岛轮渡站 · 过海航线,36.06728,120.29652,⛴ 出海 / 轮渡,约 20 元,约 6:30-19:00,✓,✓,✓,,,地铁 1 号线西镇站 / 打车,1.45,19,★ 20 块钱就能真正出一次海。青岛到薛家岛 30 分钟，能从海上看胶州湾大桥和整片老城天际线，比游船便宜太多。夏季末班约 19:00，去西海岸可以坐它当交通工具。,,OSM实测
